,zipcode,% Foreign,% Uninsured,% Vehicle Access,% Food Stamps,% Teen Birth Rate,Urban
248,11231,9.065616219492039,6.3990964685141325,50.63925272660856,42.60922263236185,18.3,1
249,11232,25.300302855003913,16.936060162656958,61.13389979490185,30.37737775206725,37.3,1
250,11233,10.899541290760679,11.00763591513186,54.53713123092574,38.419323992849115,27.1,1
251,11234,9.470830804010633,7.429929039415572,17.125068418171868,33.54405207962657,8.7,1
252,11235,18.419673555990133,9.614376829377408,28.478705432559792,41.43947237240692,13.3,1
253,11236,13.139561614808743,9.429379603994043,25.216135312218707,32.76994272806325,13.8,1
254,11237,29.55959611013823,26.373933455046764,69.50778072172257,31.269793956555766,37.1,1
255,11238,8.51052007704845,7.910431174988887,62.81436539778843,44.443621277226256,25.7,1
256,11239,5.895091434071222,5.6063522617901835,43.09968469561,51.78055822906641,19.2,1
257,11354,35.28376970504347,21.73831360694096,40.48243114909781,34.86533107888849,11.3,1
258,11355,39.02447944604282,24.23075047544741,41.17613684718164,33.091139610864595,11.4,1
259,11356,22.905142388854745,17.566072526121694,16.44489308984124,30.93218602745339,9.8,1
260,11357,9.480628645660868,7.369010927430653,4.735035774533187,37.2245854453756,2.7,1
261,11358,21.14999599583567,16.25156829769627,14.179187534780187,34.71877419182617,5.9,1
262,11360,11.015588585633642,4.484955202237298,5.200782418593948,43.21818840954995,2.8,1
263,11361,15.783370847827568,9.60030011595389,5.528813093109614,35.53645726758066,4.2,1
264,11362,10.655017034838993,6.698538300912187,4.716438513746693,38.65809429607649,1.5,1
265,11363,9.410056750692886,7.087237693018345,2.0946915351506457,34.961066385112844,1.6,1
266,11364,12.22767195163682,7.61948214896772,4.37956204379562,37.71529599634995,2.6,1
267,11365,14.89342627249703,9.931192146491249,9.226387264126952,34.59667839612703,7.1,1
268,11366,14.705882352941178,4.493661871528273,5.8641472552532985,31.234866828087174,3.4,1
269,11367,13.039401823594215,7.690504652743595,16.85902275914141,34.59906710732953,9.7,1
270,11368,39.68419748278487,29.465755607087857,57.383379672536286,25.466888530916428,44.0,1
271,11369,26.99680088834836,19.99576976971684,34.38575309387262,29.14893054490653,28.2,1
272,11370,17.392945275076208,8.355349107272463,25.459036640592842,25.170561765132817,14.5,1
273,11372,36.79514576736496,20.0767442948728,48.72442766682903,37.944750347065145,24.2,1
274,11373,35.796348430901716,20.54007617785874,53.775931814740325,32.07439761530181,18.9,1
275,11374,18.691783678576392,10.22521896288058,32.51093939111814,44.652208165345925,5.5,1
276,11375,12.584493879902752,5.718180412878202,31.13958835735517,45.46719318708807,6.1,1
277,11377,34.27263624660277,19.60762738906066,45.48678057753252,34.7732799313403,18.8,1
278,11378,15.518485121731286,13.306281935677788,19.229100824192848,37.589419897805826,12.3,1
279,11379,9.65578404744748,8.214622249320989,12.224507787246544,37.29283299151931,5.5,1
280,11385,21.394574933250784,15.46937275084162,35.77199105847288,33.779940409395195,25.6,1
281,11411,9.626943005181348,8.476683937823834,7.574772431729517,31.26424870466321,11.3,1
282,11412,11.002063382889792,9.928046135125124,12.242593687832679,29.14925136236177,18.1,1
283,11413,10.6630131853205,8.082156490784326,10.655778519145548,28.963207569263915,16.2,1
284,11414,5.055404113711192,6.446702304669522,10.425315265919947,37.09066449534464,8.9,1
285,11415,13.507354464470685,8.012222912782265,35.43859649122807,43.11166355914647,10.7,1
286,11416,20.759652225169468,12.713675213675213,29.28968391802709,26.425729442970823,16.8,1
287,11417,17.65169176485414,11.032701153046437,19.746465138956605,29.18530653392981,18.5,1
288,11418,23.51408238949584,16.07447128395309,28.798923404732534,27.71875313220407,19.6,1
289,11419,23.112970063126912,15.555168273885595,20.466091444238373,24.54010301692421,20.0,1
290,11420,17.939029456566892,11.454232526855133,14.160869565217393,26.35264792577499,14.0,1
291,11421,20.823238965413807,13.788329757042986,24.43249988002112,27.96428324219561,22.2,1
292,11422,13.356082375478929,7.6957614942528725,9.745012395230788,28.74161877394636,13.5,1
293,11423,18.609182038148507,10.351003990824246,17.594414471596316,30.27055902963265,13.6,1
294,11426,12.735731078985546,9.254164373968287,6.507177033492822,31.21404632084438,3.1,1
295,11427,12.750098077677519,9.188788631707425,10.767580220423286,32.465890763262294,7.5,1
296,11428,12.545601945683016,10.817794892582086,7.626575518051697,28.202269963518447,11.0,1
297,11429,15.497961778675348,9.805901492202402,10.818827570056982,27.693631025842404,10.5,1
298,11432,24.128868688742546,12.582320749466655,36.68082302116132,28.579599913427945,12.9,1
299,11433,17.960983200299687,15.479929689075872,29.232074671192194,29.96282742126041,29.2,1
300,11434,10.19025634062071,9.076781484331388,17.509700665188472,31.63596312557521,21.0,1
301,11435,25.071581029725646,16.341298349731893,33.71590455090255,32.93421486456001,23.7,1
302,11436,16.353794199443787,10.036750099324593,13.565677732436304,27.28446563369091,17.2,1
303,11501,15.507216280760044,6.2143079638666805,5.360443622920517,37.27546464541585,5.0,1
304,11507,5.7435197817189625,2.878581173260573,1.014760147601476,32.196452933151434,0.0,1
305,11509,1.7604121940747102,4.680120223271791,2.972027972027972,38.90081580077286,0.0,1
306,11510,7.725143771862217,7.434635679136777,3.254596299161064,31.91142467540168,6.5,1
307,11514,6.779661016949151,5.414924058991855,2.9155787641427326,36.0114461809377,4.3,1
308,11516,11.742620403935785,5.800103573278093,6.271878646441072,28.61211807353703,9.5,1
309,11518,1.6189167974882257,4.326923076923077,2.4628616106333063,38.38304552590267,4.0,1
310,11520,16.820376684898278,15.273359727212393,5.6071601354620215,30.86481909513239,30.0,1
311,11530,2.1185398587640094,2.4839265010715668,1.6728771902005866,32.51941116537259,0.7,1
312,11542,16.440237028472325,11.280531868767163,5.266642147848474,35.196560196560185,17.1,1
313,11545,3.9861351819757367,5.356861509374507,1.6549648946840525,33.448873483535536,0.4,1
314,11548,7.207837648705389,6.438068579426173,3.9145907473309607,16.829951014695588,0.0,1
315,11550,26.775776279061702,19.811369822639087,17.904399899594793,28.681149118396643,43.6,1
316,11552,7.355530982512183,7.1425646066265305,1.3258541560428354,29.594135233648693,6.7,1
317,11553,21.716360856269112,16.957186544342505,4.05881847106372,23.63149847094801,33.0,1
318,11554,6.766412377780164,5.751047598581714,1.6480715863396955,32.693134200064456,3.5,1
319,11557,4.374641422834194,3.4423407917383817,2.1957913998170167,35.87205966724039,2.3,1
320,11558,5.106331851495855,7.545356241739758,7.65733429050012,36.30902318875405,5.8,1
321,11559,7.073142725915719,4.937421058674933,0.9964987880420144,32.16213112871742,2.6,1
322,11560,5.854579792256846,6.074913440352534,0.3145753233135267,36.150456405413905,7.1,1
323,11561,6.991796292350309,8.280950351587473,7.319899244332492,42.342318346473476,8.5,1
324,11563,4.12842002571948,4.296926965544765,3.6774193548387095,36.27777038712252,2.5,1
325,11565,0.2662037037037037,3.6921296296296298,2.7739881764438383,36.62037037037037,4.3,1
326,11566,1.7352185089974297,2.845290955830801,0.9770480430132392,32.677027342837114,1.4,1
327,11568,5.417212756662297,3.298383573612931,0.8496732026143791,22.127566622979465,0.0,1
328,11570,4.278483778174271,2.1301387321122967,4.34326007051234,35.99024141572297,4.6,1
329,11572,3.3213859020310634,3.980201399556238,2.002063983488132,34.961597542242714,2.0,1
330,11575,17.707075585607342,16.14344361265395,3.111333250031238,25.953875875392427,39.7,1
331,11576,4.588170259812051,3.9011292742636026,1.2015569470299543,36.86330253494432,0.8,1
332,11577,7.293606455617629,7.588454376163874,4.2107001321003965,32.79795158286778,1.5,1
333,11579,5.9477379095163805,3.74414976599064,3.229483282674772,38.06552262090485,0.0,1
334,11580,9.641592817973576,7.938638098984244,2.9461044401005303,29.91508364376779,6.5,1
335,11581,8.988134167990284,6.871905073343923,1.7020848020948738,32.04241801364103,4.6,1
336,11590,15.02524716764968,11.866168795349429,3.2933378083571068,29.781049772987647,23.1,1
337,11596,7.160909856781802,3.6319385940278948,1.5294117647058825,33.00571000655247,0.0,1
338,11598,3.1903843300192904,1.9142305980115744,0.9506026141571888,28.765395459266948,0.0,1
339,11691,12.450343362177813,9.466325870723367,27.641835841427326,30.59310812059249,26.7,1
340,11692,11.70437561201876,7.802917074679175,28.99971582836033,32.45889810853992,21.5,1
341,11693,5.648448548373679,8.010980783628652,17.537942664418217,39.52250228766326,22.2,1
342,11694,5.33012865827796,6.3716480512748,13.946488294314385,38.40897309015505,4.3,1
343,11697,0.33095723014256617,1.8075356415478607,1.9230769230769231,38.085539714867615,3.2,1
344,11701,12.615942286506273,13.628771455986351,1.929051369120728,30.39198265752159,29.7,1
345,11702,3.04904357831152,3.3870271825111464,2.2758060146301813,36.42312670789587,6.0,1
346,11703,5.27622970680882,6.148534044099832,2.4298124134458017,33.24448752120184,5.9,1
347,11704,6.796333556896938,7.325434085997466,1.5133637716103217,31.92488262910798,12.0,1
348,11705,2.413655154020536,2.840378717162288,2.5837592277115284,35.27136951593546,4.6,1
349,11706,14.59850792389529,12.04402654541709,4.580944247895571,27.75202695743021,20.6,1
350,11709,1.8087472201630839,2.7724240177909563,0.5195599022004891,35.92290585618978,1.5,1
351,11710,1.9209545115585385,3.728560775540642,1.7387642139462127,33.66442953020134,3.8,1
352,11713,6.233653007846558,7.061900610287705,1.033934252386002,34.74280732345248,31.6,1
353,11714,3.5451068196660134,3.4984606773019866,0.4309537193179689,34.867991417109806,3.2,1
354,11715,0.560161326462021,3.9659421913511093,1.6074450084602367,34.86444095899619,4.3,1
355,11716,1.7503500700140031,3.2306461292258457,0.9246773261413984,35.597119423884784,6.1,1
356,11717,26.419568607068605,18.304963617463613,3.871373691879719,21.83926715176716,42.0,1
357,11718,0.129366106080207,3.5899094437257437,0.98219766728054,35.70504527813713,3.0,1
358,11719,5.6509110113546335,6.627937681542117,0.6138735420503376,31.18563506733562,3.5,1
359,11720,4.288242028935225,5.1451965444263275,1.5634476716759889,30.957915553550983,4.8,1
